id,Score,Rank
221610,41.61,341
209644,41.59,1226
192317,41.59,942
201873,41.58,770
178766,41.58,748
212255,41.57,1324
210502,41.57,1040
232410,41.57,1298
203778,41.56,1236
234462,41.56,691
214272,41.56,1117
140483,41.56,486
207443,41.56,1044
234646,41.55,866
215252,41.55,1220
216779,41.54,1090
218387,41.53,1245
226838,41.51,1648
204334,41.5,1249
121980,41.5,1450
237543,41.5,1304
101317,41.49,1207
244969,41.48,895
217096,41.47,1016
228456,41.46,1166
149258,41.46,300
190435,41.46,589
221759,41.46,1339
222007,41.45,1332
153100,41.44,1242
18745,41.42,1511
231105,41.42,1206
189233,41.4,1329
211883,41.39,1075
241179,41.36,721
178485,41.36,1144
234898,41.36,548
225361,41.35,1043
219159,41.34,1570
206561,41.34,495
211011,41.33,1341
175603,41.31,1489
185291,41.31,1214
120415,41.31,1522
187959,41.3,1145
228410,41.3,1147
212247,41.3,926
214571,41.29,1139
225751,41.29,1393
193411,41.28,1060
219969,41.28,631
211299,41.27,1265
214578,41.27,937
228845,41.27,1559
223270,41.26,1504
232003,41.26,946
170877,41.24,1174
203849,41.23,950
191336,41.22,1356
204502,41.22,998
140181,41.22,664
228322,41.2,1554
234748,41.19,908
210428,41.18,1115
205759,41.18,1205
244467,41.17,597
243675,41.17,1100
228022,41.17,1907
232790,41.16,833
229783,41.16,1375
212973,41.16,1306
215090,41.14,1330
240123,41.14,1492
137356,41.14,1611
210772,41.13,956
163201,41.12,654
244385,41.11,670
238076,41.11,1769
210347,41.1,1284
204725,41.09,1385
210119,41.08,1624
210791,41.06,1355
184422,41.06,324
225280,41.06,1707
231664,41.03,902
243759,41.03,816
190179,41.03,1632
226729,41.03,1384
229704,41.03,745
236033,41.02,1118
241028,41.0,1178
228611,41.0,1318
188968,41.0,933
242514,40.98,1351
239385,40.98,1715
231489,40.98,944
243139,40.98,1912
213588,40.97,753
228935,40.97,1344
223040,40.97,1424
223107,40.96,476
220807,40.96,1368
233067,40.93,1446
244912,40.92,1078
211398,40.92,1208
240135,40.92,1122
241210,40.9,1336
27480,40.9,1160
225543,40.9,1320
202079,40.9,1521
225650,40.89,1269
227653,40.88,1342
222864,40.87,1182
214024,40.84,1401
207723,40.84,1267
212560,40.84,1258
242242,40.84,1254
176631,40.83,1638
208460,40.83,1661
219657,40.82,1495
221332,40.82,1372
203835,40.82,1337
224215,40.8,1551
244001,40.79,1503
210940,40.79,1493
210264,40.79,1352
186488,40.79,1172
197998,40.79,1168
219983,40.79,1431
243735,40.79,1127
208697,40.78,1333
239564,40.78,1547
224349,40.76,1438
229586,40.76,1628
221807,40.76,1169
204438,40.75,1184
246076,40.75,1843
152690,40.72,1051
170785,40.72,929
220584,40.7,1383
223925,40.69,985
231841,40.68,776
219482,40.68,1437
229433,40.68,1334
235018,40.68,1241
199909,40.68,892
182489,40.68,1394
191437,40.66,1092
234735,40.65,698
208684,40.65,1140
231859,40.64,1688
199130,40.64,1297
243304,40.64,760
214008,40.63,1490
190169,40.62,1098
215522,40.61,891
229956,40.61,1515
245330,40.61,1433
228385,40.61,1133
226524,40.59,1552
221531,40.59,1161
210508,40.58,1257
214473,40.57,1293
242229,40.56,1785
211053,40.56,1049
235652,40.55,1177
184148,40.55,1260
233088,40.54,968
244340,40.54,849
244258,40.52,615
223760,40.52,1567
233916,40.52,1471
229848,40.5,1296
217994,40.5,1456
244120,40.49,1187
228526,40.48,1199
206165,40.46,1261
208988,40.45,1263
237269,40.45,1915
198132,40.44,1399
222510,40.44,1141
239999,40.44,966
240751,40.44,963
184254,40.43,989
244827,40.43,958
235260,40.43,1768
193512,40.42,1633
214471,40.42,1087
229135,40.4,1244
184222,40.38,1071
230858,40.37,1211
240371,40.36,1111
176922,40.36,1029
203215,40.34,996
102881,40.33,1700
236241,40.3,884
215408,40.29,1170
210785,40.28,1440
201179,40.27,887
227371,40.26,1325
186188,40.26,1346
225419,40.26,1180
182240,40.26,1698
211105,40.26,1191
212175,40.24,1478
183549,40.2,1233
232101,40.2,1195
213676,40.18,1621
227529,40.18,1546
232107,40.18,1076
234803,40.18,1331
221163,40.17,1765
232713,40.17,1239
237081,40.17,1412
243197,40.17,910
208719,40.16,1430
233791,40.14,740
222129,40.13,780
229860,40.13,1485
229685,40.12,1420
231647,40.12,1697
223988,40.1,1826
230694,40.1,1032
244987,40.1,1011
219260,40.09,1364
246281,40.09,1240
231993,40.08,1146
231071,40.07,1378
231075,40.07,1463
244066,40.06,1442
212392,40.05,1902
183070,40.04,1323
180755,40.04,1407
232645,40.03,1389
189955,40.02,1120
235597,40.02,1152
235237,40.02,1486
213678,40.01,1539
201112,40.01,977
223683,40.0,1543
199321,40.0,1068
245783,39.99,1128
54037,39.99,1022
226804,39.97,1310
222829,39.97,1359
238674,39.96,750
226450,39.96,1614
207528,39.96,1620
244384,39.96,481
219854,39.95,1627
225981,39.95,1751
228789,39.95,1387
203440,39.94,1077
238223,39.93,1457
241248,39.92,843
182312,39.91,1417
239364,39.9,1121
222695,39.9,1487
223868,39.9,1173
198253,39.89,1448
242526,39.89,1731
155980,39.88,826
224622,39.87,1668
240662,39.86,1024
244363,39.84,858
238060,39.84,1558
213535,39.84,1778
239742,39.83,1365
242159,39.82,1308
246200,39.82,1287
246139,39.81,1363
216518,39.8,1209
183244,39.79,1217
